数据库：年度数据 
时间： 
职业高中招生数 (万人) 	,	,	,	,	,	,158.3830	,152.1763	,140.3185	,148.3979	,151.4336	,
技工学校招生数 (万人) 	,	,157.2411	,162.4576	,165.9948	,167.2485	,160.0551	,142.9536	,128.5000	,130.9000	,127.2000	,
初中阶段教育招生数 (万人) 	,	,1848.7541	,1754.6266	,1731.3811	,1705.4376	,1632.0964	,1638.8487	,1602.5931	,1547.2209	,1487.1663	,
普通初中招生数 (万人) 	,	,	,	,	,	,	,	,	,	,	,
初级中学招生数 (万人) 	,	,1215.47	,1171.58	,1170.10	,1127.76	,1089.24	,1105.57	,1097.82	,1076.09	,1054.33	,
九年一贯制学校初中阶段招生数 (万人) 	,	,355.5833	,324.8910	,308.1503	,310.0495	,287.5328	,277.7295	,259.7780	,237.8247	,212.8330	,
十二年一贯制学校初中阶段招生数 (万人) 	,	,54.43	,49.93	,47.80	,57.88	,54.17	,51.33	,45.79	,39.81	,33.58	,
完全中学初中阶段招生数 (万人) 	,	,219.79	,205.07	,202.35	,206.26	,201.08	,204.13	,199.15	,193.41	,186.28	,
职业初中招生数 (万人) 	,	,0.0105	,0.0089	,0.0228	,0.0238	,0.0610	,0.0842	,0.1000	,0.1000	,0.1000	,
成人初中招生数 (万人) 	,	,	,	,	,	,	,	,	,	,	,
初等教育招生数 (万人) 	,	,	,	,	,	,1808.0902	,1869.0411	,1867.2970	,1766.5544	,1752.4659	,
普通小学招生数 (万人) 	,1461.7000	,1616.6311	,1877.8830	,1701.3874	,1782.5811	,1808.0902	,1869.0411	,1867.2970	,1766.6000	,1752.5000	,
小学招生数 (万人) 	,	,1354.67	,1574.24	,1422.71	,1474.35	,1573.78	,1634.16	,1643.95	,1568.84	,1568.71	,
九年一贯制学校小学阶段招生数 (万人) 	,	,209.29	,235.14	,202.77	,214.71	,208.31	,209.54	,199.98	,178.79	,167.70	,
十二年一贯制学校小学阶段招生数 (万人) 	,	,22.31	,25.12	,22.94	,27.32	,26.00	,25.34	,23.37	,18.92	,16.05	,
成人小学招生数 (万人) 	,	,	,	,	,	,	,	,	,	,	,
扫盲班招生数 (万人) 	,	,	,	,	,	,	,	,	,	,	,
工读学校招生数 (万人) 	,	,	,	,	,	,0.3036	,0.3792	,0.3235	,0.3187	,0.3295	,
特殊教育招生数 (万人) 	,16.4000	,15.8213	,15.4977	,14.6257	,14.9062	,14.9046	,14.4211	,12.3514	,11.1000	,9.2000	,
学前教育招生数 (万人) 	,	,970.9949	,1181.2117	,1360.4348	,1526.2381	,1791.4049	,1688.2293	,1863.9134	,1938.0000	,1922.1000	,
高等教育在校学生数 (万人) 	,	,	,	,	,	,	,	,	,	,	,
研究生在校学生数 (万人) 	,430.0000	,409.5436	,388.2940	,365.3613	,333.2373	,313.9598	,286.3712	,273.1257	,263.9561	,198.1051	,
博士在校学生数 (万人) 	,	,67.6262	,61.2489	,55.6065	,50.9453	,46.6549	,42.4182	,38.9518	,36.1997	,34.2027	,
硕士在校学生数 (万人) 	,	,341.9174	,327.0451	,309.7548	,282.2920	,267.3049	,243.9530	,234.1739	,227.7564	,163.9024	,
普通、职业本专科在校学生数 (万人) 	,3954.0000	,3891.2568	,3775.0146	,	,	,	,	,	,	,	,
普通本科在校学生数 (万人) 	,	,2085.9138	,2034.6933	,1965.6436	,1893.1044	,1825.7460	,1750.8204	,1697.3343	,1648.6320	,1612.9535	,
专科在校学生数 (万人) 	,	,1764.6595	,1707.8521	,1670.8999	,1590.0966	,1459.5488	,1280.7058	,1133.7000	,1105.0000	,1082.9000	,
成人本专科在校学生数 (万人) 	,	,942.5958	,1008.2275	,933.6481	,832.6521	,777.2942	,668.5603	,590.9878	,544.1429	,584.3883	,
成人本科在校学生数 (万人) 	,	,596.8002	,600.0262	,527.7598	,459.1098	,405.1025	,341.3174	,297.1134	,258.9809	,268.6619	,
成人专科在校学生数 (万人) 	,	,345.7956	,408.2013	,405.8883	,373.5423	,372.1917	,327.2429	,293.8744	,285.1620	,315.7264	,
其他高等学历教育在校学生数 (万人) 	,	,	,	,	,	,	,	,	,	,	,
注：1. 完全中学、九年一贯制学校、十二年一贯制学校和附设教学班的专任教师数按教育层次分别计入对应教育阶段的专任教师数中。
2. 2017年起，研究生招生数包含全日制和非全日制研究生，在校生数包含全日制、非全日制研究生和在职人员攻读硕士学位学生。
3. 2023年起，高中阶段教育学生数不含国家开放大学中职部。
4. 完全中学、九年一贯制学校、十二年一贯制学校和附设教学班的学生数按教育层次分别计入对应教育阶段的学生数中。
5. 特殊教育涵盖特殊教育学校、附设特教班、随班就读和送教上门等各类形式。
6. 2019年起，学前教育招生数仅包括首次入园的适龄儿童，不再包括复学、转入等情况。
数据来源：国家统计局
