学号,性别,民族,省份,语文,外语,数学
1181020200247 ,女,汉族,海南省,223,202,209
1181020200248 ,女,汉族,海南省,199,217,208
1181020200249 ,女,汉族,海南省,203,205,182
1181020200250 ,女,汉族,海南省,168,200,210
1181020200251 ,女,汉族,海南省,201,178,198
1181020200252 ,女,汉族,海南省,193,206,198
1181020200253 ,女,汉族,海南省,219,203,187
1181020200254 ,女,汉族,海南省,217,202,203
1181020200255 ,女,汉族,海南省,201,199,196
1181020200256 ,男,汉族,北京市,101,103,115
1181020200257 ,男,蒙古族,北京市,87,89,111
1181020200258 ,男,汉族,北京市,90,76,123
1181020200259 ,女,汉族,北京市,93,107,116
1181020200260 ,女,汉族,北京市,95,88,110
1181020200261 ,女,汉族,新疆维吾尔族自治区,109,103,87
1181020200262 ,女,蒙古族,内蒙古自治区,115,97.5,113.5
1181020200263 ,男,汉族,内蒙古自治区,105,136.3,93
1181020200264 ,男,汉族,内蒙古自治区,107,110.6,102
1181020200265 ,男,蒙古族,内蒙古自治区,110.5,104.4,103
1181020200266 ,男,汉族,内蒙古自治区,105,105.6,113
1181020200267 ,女,汉族,内蒙古自治区,124,127.5,83
1181020200268 ,女,汉族,内蒙古自治区,101.5,124.4,99.5
1181020200269 ,女,汉族,内蒙古自治区,109,118.1,88
1181020200270 ,女,汉族,内蒙古自治区,114.5,116.9,91
1181020200271 ,男,汉族,内蒙古自治区,104,104.4,114
1181020200272 ,男,汉族,内蒙古自治区,119.5,103.8,86.5
1181020200273 ,男,汉族,内蒙古自治区,104,87.5,103
1181020200274 ,女,汉族,广西壮族自治区,109,118,99
1181020200275 ,男,汉族,广西壮族自治区,113,99,116
1181020200276 ,女,汉族,广西壮族自治区,119,131,111
1181020200277 ,男,汉族,广西壮族自治区,94,103,101
1181020200278 ,男,汉族,广西壮族自治区,110,140,84
1181020200279 ,女,壮族,广西壮族自治区,109,106,99
1181020200280 ,女,汉族,广西壮族自治区,118,121,113
1181020200281 ,女,汉族,广西壮族自治区,113,119,106
1181020200282 ,女,汉族,广西壮族自治区,112,112,105
1181020200283 ,男,汉族,广西壮族自治区,106,78,129
1181020200284 ,男,汉族,广西壮族自治区,93,124,108
1181020200285 ,男,汉族,广西壮族自治区,110,137,93
1181020200286 ,女,汉族,广西壮族自治区,111,129,106
1181020200287 ,男,汉族,广西壮族自治区,109,104,113
1181020200288 ,女,汉族,广西壮族自治区,123,113,103
1181020200289 ,女,汉族,广西壮族自治区,124,123,104
1181020200290 ,女,汉族,广西壮族自治区,107,119,97
1181020200291 ,男,汉族,广西壮族自治区,102,110,112
1181020200292 ,男,汉族,广西壮族自治区,112,132,102
1181020200293 ,男,汉族,广西壮族自治区,110,104,112
1181020200294 ,男,汉族,广西壮族自治区,108,114,111
1181020200295 ,男,汉族,广西壮族自治区,108,129,81
1181020200296 ,男,壮族,广西壮族自治区,114,121,103
1181020200297 ,男,汉族,广西壮族自治区,101,124,102
1181020200298 ,女,壮族,广西壮族自治区,107,101,98
1181020200299 ,男,汉族,广西壮族自治区,117,99,100
1181020200300 ,男,汉族,广西壮族自治区,116,109,82
1181020200301 ,女,汉族,广西壮族自治区,115,114,97
1181020200302 ,男,汉族,广西壮族自治区,112,97,111
1181020200303 ,男,汉族,广西壮族自治区,96,90,124
1181020200304 ,女,汉族,海南省,203,202,203
1181020200305 ,女,汉族,海南省,215,217,214
1181020200306 ,女,汉族,河南省,118,114,131
1181020200307 ,男,汉族,河南省,120,131,128
1181020200308 ,女,汉族,河南省,131,133,130
1181020200309 ,女,汉族,河南省,125,129,118
1181020200310 ,女,汉族,河南省,122,127,110
1181020200311 ,男,汉族,河南省,115,106,140
1181020200312 ,女,汉族,河南省,118,133,128
1181020200313 ,女,汉族,河南省,123,104,123
1181020200314 ,女,汉族,河南省,122,124,124
1181020200315 ,男,汉族,河南省,120,114,123
1181020200316 ,女,汉族,河南省,111,118,126
1181020200317 ,女,汉族,河南省,121,128,122
1181020200318 ,男,汉族,河南省,116,126,124
1181020200319 ,男,汉族,河南省,114,118,125
1181020200320 ,男,汉族,河南省,114,124,122
1181020200321 ,男,汉族,河南省,101,112,134
1181020200322 ,女,汉族,河南省,127,116,114
1181020200323 ,女,汉族,河南省,120,118,126
1181020200324 ,女,汉族,河南省,118,126,127
1181020200325 ,女,蒙古族,河南省,128,124,118
1181020200326 ,男,汉族,河南省,126,114,125
1181020200327 ,女,汉族,河南省,124,103,127
1181020200328 ,男,汉族,河南省,118,103,114
1181020200329 ,男,汉族,河南省,103,116,129
1181020200330 ,女,汉族,河南省,120,130,124
1181020200331 ,男,汉族,河南省,119,132,118
1181020200332 ,男,汉族,河南省,113,120,111
1181020200333 ,男,汉族,河南省,112,116,126
1181020200334 ,男,汉族,河南省,111,116,128
1181020200335 ,男,汉族,河南省,107,117,124
1181020200336 ,女,汉族,河南省,130,125,119
1181020200337 ,女,汉族,河南省,126,124,120
1181020200338 ,男,汉族,河南省,115,131,117
1181020200339 ,男,汉族,河南省,113,124,117
1181020200340 ,女,汉族,河南省,107,141,120
1181020200341 ,男,汉族,河南省,104,122,126
1181020200342 ,男,汉族,河南省,113,112,124
1181020200343 ,男,汉族,河南省,107,121,118
1181020200344 ,女,汉族,河南省,132,107,123
1181020200345 ,男,汉族,河南省,123,116,114
1181020200346 ,女,汉族,河南省,120,121,120
1181020200347 ,女,汉族,河南省,119,134,119
1181020200348 ,女,汉族,河南省,127,119,116
1181020200349 ,男,汉族,河南省,120,96,108
1181020200350 ,男,汉族,河南省,115,109,115
1181020200351 ,女,汉族,河南省,115,121,110
1181020200352 ,男,汉族,河南省,121,109,118
1181020200353 ,女,汉族,河南省,118,118,121
1181020200354 ,女,汉族,河南省,115,126,122
1181020200355 ,女,汉族,河南省,113,119,117
1181020200356 ,男,汉族,河南省,111,109,131
1181020200357 ,男,汉族,黑龙江省,116,114,95
1181020200358 ,女,汉族,黑龙江省,103,116,110
1181020200359 ,女,汉族,黑龙江省,122,111,104
1181020200360 ,男,满族,黑龙江省,101,113,108
1181020200361 ,男,汉族,黑龙江省,106,111,108
1181020200362 ,女,汉族,黑龙江省,120,137,105
1181020200363 ,女,汉族,黑龙江省,117,119,107
1181020200364 ,男,蒙古族,黑龙江省,119,115,101
1181020200365 ,男,汉族,内蒙古自治区,109,121.3,81
1181020200366 ,男,汉族,内蒙古自治区,103.5,115,97
1181020200367 ,男,汉族,内蒙古自治区,106,108.1,84
1181020200368 ,女,蒙古族,内蒙古自治区,109,114.4,83.5
1181020200369 ,女,汉族,江苏省,124,87,115
1181020200370 ,男,汉族,江苏省,106,97,120
1181020200371 ,女,汉族,江苏省,117,97,110
1181020200372 ,女,汉族,江苏省,111,105,114
1181020200373 ,女,汉族,江苏省,127,91,106
1181020200374 ,女,汉族,江苏省,117,95,108
1181020200375 ,女,汉族,江苏省,102,99,120
1181020200376 ,女,汉族,江苏省,110,95,115
1181020200377 ,男,汉族,江苏省,103,104,121
1181020200378 ,女,汉族,江苏省,117,88,117
1181020200379 ,男,汉族,江苏省,118,90,118
1181020200380 ,男,汉族,江苏省,109,89,123
1181020200381 ,女,汉族,江苏省,120,90,109
1181020200382 ,男,汉族,江西省,115,114,112
1181020200383 ,男,汉族,江西省,98,132,123
1181020200384 ,男,汉族,江西省,108,131,123
1181020200385 ,男,汉族,江西省,110,130,115
1181020200386 ,男,汉族,江西省,112,115,115
1181020200387 ,女,汉族,江西省,117,131,101
1181020200388 ,男,汉族,江西省,108,117,137
1181020200389 ,男,汉族,江西省,98,99,134
1181020200390 ,女,汉族,江西省,108,120,125
1181020200391 ,男,汉族,江西省,103,132,122
1181020200392 ,男,汉族,江西省,117,120,122
1181020200393 ,男,汉族,江西省,107,114,120
1181020200394 ,女,汉族,江西省,108,128,127
1181020200395 ,女,汉族,江西省,108,122,120
1181020200396 ,男,汉族,江西省,99,125,125
1181020200397 ,男,汉族,江西省,102,122,126
1181020200398 ,女,回族,宁夏回族自治区,107,108,86
1181020200399 ,女,汉族,宁夏回族自治区,93,117,104
1181020200400 ,女,回族,宁夏回族自治区,113,113,79
1181020200401 ,男,汉族,宁夏回族自治区,104,97,102
1181020200402 ,男,汉族,宁夏回族自治区,121,135,83
1181020200403 ,女,回族,宁夏回族自治区,114,86,72
1181020200404 ,男,汉族,宁夏回族自治区,106,84,96
1181020200405 ,女,回族,宁夏回族自治区,101,103,81
1181020200406 ,男,汉族,重庆市,,,
1181020200407 ,女,汉族,重庆市,,,
1181020200408 ,男,汉族,重庆市,,,
1181020200409 ,男,汉族,重庆市,,,
1181020200410 ,女,汉族,重庆市,,,
1181020200411 ,男,汉族,重庆市,,,
1181020200412 ,男,汉族,重庆市,,,
1181020200413 ,女,汉族,重庆市,,,
1181020200414 ,男,汉族,重庆市,,,
1181020200415 ,女,汉族,重庆市,,,
1181020200416 ,男,汉族,重庆市,,,
1181020200417 ,女,汉族,重庆市,,,
1181020200418 ,女,汉族,重庆市,,,
1181020200419 ,男,汉族,重庆市,,,
1181020200420 ,男,汉族,重庆市,,,
1181020200421 ,男,土家族,重庆市,,,
1181020200422 ,女,苗族,重庆市,,,
1181020200423 ,女,彝族,云南省,125,112,129
1181020200424 ,男,汉族,云南省,112,117,120
1181020200425 ,女,汉族,云南省,108,132,120
1181020200426 ,女,汉族,云南省,111,121,130
1181020200427 ,女,汉族,云南省,109,115,109
1181020200428 ,女,汉族,云南省,121,120,100
1181020200429 ,男,汉族,云南省,118,93,107
1181020200430 ,女,汉族,云南省,123,123,119
1181020200431 ,男,汉族,云南省,116,137,114
1181020200432 ,女,汉族,云南省,118,133,115
1181020200433 ,女,汉族,云南省,116,129,101
1181020200434 ,女,汉族,云南省,106,120,126
1181020200435 ,女,汉族,云南省,123,128,104
1181020200436 ,男,汉族,云南省,114,124,103
1181020200437 ,女,汉族,云南省,104,125,107
1181020200438 ,男,汉族,云南省,113,106,115
1181020200439 ,女,汉族,云南省,112,128,122
1181020200440 ,男,汉族,云南省,110,119,118
1181020200441 ,男,汉族,云南省,110,114,121
1181020200442 ,男,彝族,云南省,117,117,110
1181020200443 ,男,汉族,云南省,110,113,110
1181020200444 ,女,汉族,云南省,107,126,111
1181020200445 ,女,汉族,云南省,120,125,118
1181020200446 ,女,汉族,云南省,120,119,105
1181020200447 ,女,白族,云南省,118,132,97
1181020200448 ,女,汉族,安徽省,107,117,124
1181020200449 ,男,汉族,安徽省,116,127,118
1181020200450 ,女,汉族,安徽省,112,120,113
1181020200451 ,男,汉族,安徽省,108,124,114
1181020200452 ,女,汉族,安徽省,115,112,106
1181020200453 ,女,汉族,安徽省,123,121,108
1181020200454 ,女,汉族,安徽省,121,114,123
1181020200455 ,女,汉族,安徽省,101,115,121
1181020200456 ,男,汉族,安徽省,117,113,127
1181020200457 ,女,汉族,安徽省,118,128,126
1181020200458 ,男,汉族,安徽省,118,117,102
1181020200459 ,男,汉族,安徽省,112,115,111
1181020200460 ,男,汉族,安徽省,114,108,116
1181020200461 ,男,汉族,安徽省,118,112,110
1181020200462 ,男,汉族,安徽省,110,119,116
1181020200463 ,女,汉族,安徽省,119,110,125
1181020200464 ,男,汉族,安徽省,120,112,123
1181020200465 ,女,汉族,安徽省,116,127,115
1181020200466 ,男,土族,青海省,106,100,82
1181020200467 ,男,汉族,青海省,110,131,97
1181020200468 ,男,回族,青海省,98,133,78
1181020200469 ,女,汉族,青海省,109,106,77
1181020200470 ,女,藏族,青海省,106,119,70
1181020200471 ,男,汉族,青海省,89,110,71
1181020200472 ,女,汉族,青海省,83,93,93
1181020200473 ,女,汉族,青海省,100,97,63
1181020200474 ,男,汉族,青海省,112,83,64
1181020200475 ,女,汉族,青海省,119,97,62
1181020200476 ,男,汉族,青海省,96,97,68
1181020200477 ,女,回族,青海省,111,101,43
1181020200478 ,女,汉族,青海省,112,103,72
1181020200479 ,女,汉族,青海省,93,95,75
1181020200480 ,女,汉族,青海省,114,99,40
1181020200481 ,男,回族,青海省,105,73,70
1181020200482 ,女,汉族,青海省,102,95,68
1181020200483 ,女,汉族,青海省,112,97,61
1181020200484 ,女,汉族,青海省,96,100,69
1181020200485 ,女,汉族,青海省,104,118,69
1181020200486 ,男,回族,青海省,101,69,52
1181020200487 ,女,白族,青海省,100,91,73
1181020200488 ,女,汉族,青海省,102,100,61
1181020200489 ,女,汉族,青海省,97,89,84
1181020200490 ,女,汉族,青海省,103,106,50
1181020200491 ,女,汉族,青海省,101,77,80
1181020200492 ,女,汉族,青海省,104,116,83
1181020200493 ,男,汉族,青海省,107,63,67
1181020200494 ,男,汉族,青海省,94,106,50
1181020200495 ,女,土族,青海省,89,89,60
1181020200496 ,男,汉族,青海省,99,53,87
1181020200497 ,女,汉族,青海省,102,95,58
1181020200498 ,女,汉族,青海省,102,81,70
1181020200499 ,女,汉族,青海省,98,82,68
1181020200500 ,男,藏族,青海省,105,67,62
1181020200501 ,女,汉族,青海省,104,90,64
1181020200502 ,女,汉族,青海省,105,86,67
1181020200503 ,男,回族,青海省,107,58,75
1181020200504 ,女,汉族,青海省,120,97,59
1181020200505 ,女,汉族,青海省,99,85,79
1181020200506 ,女,藏族,青海省,88,78,51
1181020200507 ,女,汉族,青海省,105,105,75
1181020200508 ,男,汉族,青海省,103,82,52
1181020200509 ,女,汉族,青海省,106,96,43
1181020200510 ,男,汉族,青海省,100,69,60
1181020200511 ,男,汉族,天津市,119,117,134
1181020200512 ,男,汉族,天津市,97,112,127
1181020200513 ,男,汉族,天津市,105,109,130
1181020200514 ,男,汉族,天津市,113,118,125
1181020200515 ,男,汉族,天津市,113,116,114
1181020200516 ,男,汉族,天津市,105,133,119
1181020200517 ,男,汉族,天津市,104,110,125
1181020200518 ,女,汉族,天津市,118,119,113
1181020200519 ,女,汉族,天津市,106,117,124
1181020200520 ,女,汉族,天津市,102,105,125
1181020200521 ,女,汉族,天津市,109,101,117
1181020200522 ,女,汉族,天津市,102,88,123
1181020200523 ,女,汉族,天津市,104,92,128
1181020200524 ,男,汉族,天津市,104,126,88
1181020200525 ,女,汉族,天津市,114,99,113
1181020200526 ,女,汉族,山东省,108,122,113
1181020200527 ,男,汉族,山东省,113,115,114
1181020200528 ,男,汉族,山东省,105,113,103
1181020200529 ,男,汉族,山东省,102,117,94
1181020200530 ,男,汉族,山东省,98,109,106
1181020200531 ,男,汉族,山东省,103,109,119
1181020200532 ,女,汉族,山东省,107,115,119
1181020200533 ,女,汉族,山东省,109,116,119
1181020200534 ,男,汉族,山东省,112,120,108
1181020200535 ,男,汉族,山东省,116,113,106
1181020200536 ,女,汉族,山东省,109,131,105
1181020200537 ,女,汉族,山东省,100,116,106
1181020200538 ,女,汉族,山东省,101,116,109
1181020200539 ,女,汉族,山东省,106,131,91
1181020200540 ,男,汉族,山东省,107,111,115
1181020200541 ,女,汉族,山东省,100,122,108
1181020200542 ,女,汉族,河北省,116,125,125
1181020200543 ,女,汉族,河北省,117,138,119
1181020200544 ,男,汉族,河北省,113,116,124
1181020200545 ,女,汉族,河北省,120,128,115
1181020200546 ,男,汉族,河北省,117,117,99
1181020200547 ,男,汉族,河北省,106,77,131
1181020200548 ,女,汉族,河北省,114,131,122
1181020200549 ,男,汉族,河北省,113,98,116
1181020200550 ,男,汉族,河北省,108,128,113
1181020200551 ,女,汉族,河北省,117,121,109
1181020200552 ,女,汉族,河北省,110,132,110
1181020200553 ,女,汉族,河北省,117,114,119
1181020200554 ,男,汉族,河北省,104,108,124
1181020200555 ,女,汉族,河北省,116,123,100
1181020200556 ,女,汉族,河北省,124,119,106
1181020200557 ,女,汉族,河北省,110,112,121
1181020200558 ,女,汉族,河北省,115,115,105
1181020200559 ,女,汉族,河北省,118,103,110
1181020200560 ,女,汉族,河北省,112,120,119
1181020200561 ,女,汉族,河北省,119,123,100
1181020200562 ,女,汉族,河北省,117,127,117
1181020200563 ,女,蒙古族,河北省,114,125,98
